City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,-21.41,57,18,3.56,GL,1699936121
1,kysyl-syr,63.8986,122.7617,-12.47,95,100,2.2,RU,1699936122
2,guerrero negro,27.9769,-114.0611,20.15,60,100,4.18,MX,1699935962
3,raudeberg,61.9875,5.1352,4.93,1,4,2.68,NO,1699936123
4,batagay,67.6333,134.6333,-21.03,90,100,2.48,RU,1699936124
5,punta arenas,-53.15,-70.9167,3.06,70,20,8.23,CL,1699936125
6,mahebourg,-20.4081,57.7,26.81,78,40,3.6,MU,1699936125
7,castro,-24.7911,-50.0119,20.61,67,19,0.58,BR,1699936126
8,saint-philippe,-21.3585,55.7679,26.77,77,53,3.33,RE,1699936126
9,yellowknife,62.456,-114.3525,-3.71,86,100,5.66,CA,1699936069
10,shelburne,44.0787,-80.2041,3.75,86,66,7.44,CA,1699936128
11,muravlenko,63.7898,74.523,-12.09,92,100,4.22,RU,1699936128
12,butaritari,3.0707,172.7902,27.9,81,100,5.55,KI,1699936129
13,bengkulu,-3.8004,102.2655,27.87,79,88,2.86,ID,1699936059
14,waitati,-45.75,170.5667,16.56,65,90,2.32,NZ,1699936130
15,prince rupert,54.3161,-130.3201,7.05,67,75,5.14,CA,1699935865
16,dunedin,-45.8742,170.5036,16.56,65,100,2.68,NZ,1699935970
17,georgetown,5.4112,100.3354,30.96,74,20,3.09,MY,1699935931
18,avarua,-21.2078,-159.775,23.03,64,40,3.09,CK,1699936132
19,hilo,19.7297,-155.09,22.85,93,40,2.06,US,1699935859
20,tiksi,71.6872,128.8694,-14.58,94,100,1.94,RU,1699935927
21,bethel,41.3712,-73.414,4.79,82,0,1.54,US,1699935861
22,rikitea,-23.1203,-134.9692,24.45,84,96,5.75,PF,1699936135
23,sabang,5.8933,95.3214,26.69,83,100,5.94,ID,1699936135
24,lavrentiya,65.5833,-171.0,-7.95,83,68,6.36,RU,1699936136
25,dikson,73.5069,80.5464,-6.85,94,100,8.91,RU,1699936137
26,atuona,-9.8,-139.0333,26.85,75,13,6.0,PF,1699936137
27,port alfred,-33.5906,26.891,13.99,94,79,5.57,ZA,1699936138
28,kahului,20.8947,-156.47,26.02,71,40,6.69,US,1699936138
29,ushuaia,-54.8,-68.3,0.81,75,0,2.06,AR,1699935930
30,kota kinabalu,5.9749,116.0724,32.99,70,20,2.06,MY,1699936140
31,iqaluit,63.7506,-68.5145,-17.95,59,0,3.09,CA,1699935947
32,puerto ayora,-0.7393,-90.3518,23.08,100,78,3.13,EC,1699935894
33,thompson,55.7435,-97.8558,-2.91,93,75,1.54,CA,1699935979
34,hobart,-42.8794,147.3294,19.03,50,40,9.26,AU,1699936023
35,port elizabeth,-33.918,25.5701,17.4,78,75,5.14,ZA,1699935882
36,cidreira,-30.1811,-50.2056,20.11,96,100,2.06,BR,1699935875
37,chokurdakh,70.6333,147.9167,-13.29,94,100,5.91,RU,1699936144
38,airai,-8.9266,125.4092,27.26,39,23,1.19,TL,1699936145
39,mataura,-46.1927,168.8643,9.15,63,59,5.13,NZ,1699936146
40,albany,42.6001,-73.9662,1.84,87,72,0.88,US,1699936010
41,acajutla,13.5928,-89.8275,26.97,79,98,1.65,SV,1699936147
42,busselton,-33.65,115.3333,21.89,60,95,5.56,AU,1699936148
43,ambon,-3.6954,128.1814,32.08,62,20,3.6,ID,1699936149
44,vaini,-21.2,-175.2,23.09,94,75,8.23,TO,1699936150
45,ribeira grande,38.5167,-28.7,15.99,82,100,2.24,PT,1699935932
46,kapaa,22.0752,-159.319,27.99,81,20,7.72,US,1699936151
47,aykhal,66.0,111.5,-8.69,94,100,3.9,RU,1699936152
48,birnin kebbi,12.4539,4.1975,22.19,14,16,4.27,NG,1699936153
49,jamestown,42.097,-79.2353,7.77,67,0,5.66,US,1699936063
50,nakusp,50.2499,-117.8023,3.19,93,63,0.0,CA,1699936154
51,gikongoro,-2.464,29.5739,13.17,92,91,1.25,RW,1699936155
52,bluff,-46.6,168.3333,9.33,84,95,12.17,NZ,1699936156
53,padang,-0.9492,100.3543,29.03,84,47,1.57,ID,1699935988
54,sao joao evangelista,-18.5478,-42.7633,22.45,55,69,0.78,BR,1699936157
55,isangel,-19.55,169.2667,28.06,57,75,4.63,VU,1699936158
56,faya,18.3851,42.4509,13.06,70,59,1.1,SA,1699936158
57,nikolskoye,59.7035,30.7861,1.63,98,100,2.36,RU,1699936159
58,pappadatai,39.3133,20.7925,9.35,74,11,1.64,GR,1699936160
59,tuktoyaktuk,69.4541,-133.0374,-14.0,78,100,7.72,CA,1699936160
60,khatanga,71.9667,102.5,-23.99,93,99,2.12,RU,1699936161
61,palana,59.1167,159.9667,-9.63,82,32,3.58,RU,1699936162
62,corner brook,48.9667,-57.9484,-0.91,93,58,0.97,CA,1699935918
63,mount isa,-20.7333,139.5,38.87,13,0,7.72,AU,1699935921
64,cabo san lucas,22.8909,-109.9124,27.09,64,20,1.66,MX,1699936164
65,lata,40.1629,-8.3327,13.93,95,58,1.06,PT,1699935976
66,hasaki,35.7333,140.8333,17.22,33,0,1.56,JP,1699936123
67,carballo,43.213,-8.691,18.83,93,100,6.51,ES,1699936166
68,lashio,22.9333,97.75,24.76,65,67,0.68,MM,1699936166
69,shirokiy,49.758,129.523,-5.69,75,14,1.7,RU,1699936167
70,ahuimanu,21.4447,-157.8378,26.84,75,40,6.69,US,1699936168
71,floro,61.5996,5.0328,5.54,70,7,4.12,NO,1699936169
72,port hardy,50.6996,-127.4199,8.0,100,75,2.06,CA,1699936170
73,bhandara,21.1667,79.65,24.2,49,100,2.56,IN,1699936170
74,shingu,33.7333,135.9833,16.22,45,3,0.65,JP,1699936171
75,kieta,-6.2167,155.6333,29.65,63,99,1.89,PG,1699936172
76,sabha,27.0377,14.4283,16.81,61,4,4.3,LY,1699936173
77,ghanzi,-21.5667,21.7833,25.01,27,19,4.0,BW,1699936173
